year,geo,Traveller_characteristics,value
2002,Pleasant Camp,United States of America residents entering Canada,32243
2002,Whitehorse,Canadian-resident visitors returning to Canada,1194
2002,Whitehorse,United States of America residents entering Canada,2595
2003,Beaver Creek,Residents of countries other than the United States of America entering Canada,5408
2003,Beaver Creek,Canadian-resident visitors returning to Canada,12443
2003,Dawson,United States of America residents entering Canada,6336
2003,Dawson,Residents of countries other than the United States of America entering Canada,557
2003,Beaver Creek,United States of America residents entering Canada,84484
2003,Dawson,Canadian-resident visitors returning to Canada,1412
2003,Fraser,Canadian-resident visitors returning to Canada,38684
2003,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4151
2003,Fraser,United States of America residents entering Canada,142242
1990,Little Gold Creek,Canadian-resident visitors returning to Canada,4220
1990,Dawson,United States of America residents entering Canada,5206
1990,Little Gold Creek,Residents of countries other than the United States of America entering Canada,2283
1990,Little Gold Creek,United States of America residents entering Canada,11196
1990,Old Crow,Canadian-resident visitors returning to Canada,168
1990,Fraser,Canadian-resident visitors returning to Canada,34779
1990,Whitehorse,United States of America residents entering Canada,3007
1990,Old Crow,United States of America residents entering Canada,432
1990,Fraser,Residents of countries other than the United States of America entering Canada,4563
1990,Pleasant Camp,United States of America residents entering Canada,32040
1990,Old Crow,Residents of countries other than the United States of America entering Canada,4
1990,Whitehorse,Canadian-resident visitors returning to Canada,1753
1990,Pleasant Camp,Canadian-resident visitors returning to Canada,11498
1990,Pleasant Camp,Residents of countries other than the United States of America entering Canada,1614
1990,Whitehorse,Residents of countries other than the United States of America entering Canada,181
1992,Beaver Creek,Canadian-resident visitors returning to Canada,21072
1992,Beaver Creek,Residents of countries other than the United States of America entering Canada,6271
1992,Beaver Creek,United States of America residents entering Canada,112001
1992,Dawson,Canadian-resident visitors returning to Canada,698
1992,Dawson,Residents of countries other than the United States of America entering Canada,662
1992,Little Gold Creek,United States of America residents entering Canada,14246
1992,Dawson,United States of America residents entering Canada,3883
1992,Fraser,Canadian-resident visitors returning to Canada,34676
1992,Fraser,Residents of countries other than the United States of America entering Canada,5913
1992,Old Crow,United States of America residents entering Canada,172
1992,Little Gold Creek,Canadian-resident visitors returning to Canada,5923
1992,Fraser,United States of America residents entering Canada,53455
1992,Old Crow,Canadian-resident visitors returning to Canada,130
1992,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2257
1992,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3817
1992,Old Crow,Residents of countries other than the United States of America entering Canada,2
1992,Pleasant Camp,Canadian-resident visitors returning to Canada,13075
1992,Pleasant Camp,United States of America residents entering Canada,30726
1992,Whitehorse,Canadian-resident visitors returning to Canada,1371
1992,Whitehorse,Residents of countries other than the United States of America entering Canada,202
1992,Whitehorse,United States of America residents entering Canada,2616
1999,Beaver Creek,Canadian-resident visitors returning to Canada,12525
1999,Beaver Creek,United States of America residents entering Canada,101162
1999,Beaver Creek,Residents of countries other than the United States of America entering Canada,6992
